risorsa;tipologia_risorsa;tipologia_movimento;importo_movimento;data_movimento;passaggio_fondi;categoria;categoria_dettaglio
IT25O030692008000000001585;Conti Correnti - Deposito;Entrata;60000;30/12/2014;0;Finanziamenti;Conferimento quota capitale
IT25O030692008000000001585;Conti Correnti - Deposito;Uscita;-60000;31/12/2014;1;Finanziamenti;Conferimento quota capitale
IT25O030692008000000081100;Conti Correnti - Operativi;Entrata;10000;31/12/2014;1;Amministrazione;Stipendi
IT25O0200508000000001908;Conti Correnti - Operativi;Entrata;15000;31/12/2014;1;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Entrata;15000;31/12/2014;1;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Entrata;5000;31/12/2014;1;Logistica;Beni immobili
IT25O0200508000000001908;Conti Correnti - Operativi;Entrata;15000;31/12/2014;1;Logistica;Auto Aziendali
IT25O0200508000000001908;Conti Correnti - Operativi;Entrata;2893,57;01/01/2015;0;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Entrata;3261,62;01/01/2015;0;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Entrata;3084,03;01/01/2015;0;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Uscita;-390,31;01/01/2015;0;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Uscita;-314,89;01/01/2015;0;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Uscita;-4718,62;01/01/2015;0;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Entrata;4398,82;01/01/2015;0;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Uscita;-1497,7;01/01/2015;0;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Entrata;184,08;02/01/2015;0;Reparti Operativi;Software
