Risorsa;Tipologia Risorsa;Valuta;Codice ISO;Importo;Data Movimento;Passaggio Fondi;Annotazioni;CashFlow - Categoria;CashFlow - Dettaglio
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;1046,34000;03/02/2019;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;2759,45000;24/05/2022;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-4490,92000;19/01/2017;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;2070,42000;08/10/2017;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-2392,01000;27/09/2020;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-296,61000;05/10/2024;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;415,24000;08/01/2021;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-285,02000;05/09/2019;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-3033,88000;11/04/2022;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-2264,51000;16/03/2019;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;3466,57000;24/01/2020;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-2273,47000;13/06/2023;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1308,63000;14/06/2022;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;3241,43000;12/04/2021;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;3317,05000;29/04/2017;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-3527,88000;27/01/2022;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;4673,19000;11/02/2021;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-3568,12000;05/10/2024;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;4300,4000;18/06/2018;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-3001,41000;15/04/2021;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-4245,38000;11/03/2015;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;2429,13000;01/01/2020;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;3336,07000;24/07/2024;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-489,33000;04/09/2018;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-2856,15000;19/11/2019;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-387,88000;14/10/2024;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;4253,53000;29/01/2019;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;3769,93000;12/12/2018;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;4619,08000;03/09/2019;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-3655,24000;18/08/2023;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;240,89000;16/08/2020;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;1916,33000;08/07/2018;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-4460,63000;20/10/2023;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;1516,67000;15/04/2023;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-4696,93000;27/05/2025;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;2888,43000;22/09/2015;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-3022,72000;16/02/2016;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1270,37000;27/02/2018;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-2720,84000;06/09/2015;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-982,82000;02/04/2022;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;3059,68000;08/03/2022;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-971,81000;17/06/2023;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-2008,3000;08/04/2020;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-1132,9000;09/04/2024;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;2932,22000;13/01/2016;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;4987,01000;08/02/2025;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;2964,26000;08/11/2015;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;4037,37000;14/10/2017;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;2215,48000;10/11/2022;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;4093,94000;04/06/2021;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;2234,34000;23/04/2020;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-797,09000;08/06/2017;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;824,09000;22/02/2024;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;3683,59000;26/08/2019;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;4532,87000;10/10/2020;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-2716,62000;26/01/2016;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;3560,46000;19/05/2017;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;2941,71000;28/05/2015;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;346,46000;24/03/2022;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-1839,97000;10/02/2023;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;3795,26000;03/11/2022;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1500,79000;15/12/2024;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;4267,42000;28/10/2015;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-3151,98000;18/08/2021;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;4087,04000;04/06/2018;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;3460,07000;11/10/2018;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1044,88000;22/09/2017;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-1619,07000;04/10/2022;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;1181,63000;28/03/2017;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;1828,7000;29/02/2016;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;1687,3000;24/07/2017;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;1201,79000;04/05/2017;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-1325,9000;17/08/2015;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;3714,33000;16/04/2023;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;356,84000;22/03/2015;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;4932,4000;14/09/2022;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-3650,62000;15/05/2017;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;57,84000;29/09/2020;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-4725,04000;06/08/2023;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-865,89000;22/05/2025;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-3924,86000;02/12/2016;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-1971,54000;08/11/2015;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;2180,3000;05/09/2016;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-1121,9000;28/03/2020;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;4858,18000;19/06/2020;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-4762,67000;13/04/2017;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1708,87000;17/03/2016;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;3692,57000;19/06/2022;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1538,64000;28/07/2019;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;363,31000;01/06/2017;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-1229,8000;05/09/2022;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;1012,15000;17/05/2019;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;793,21000;09/10/2017;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-227,5000;02/11/2024;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;659,28000;31/07/2015;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;1236,12000;30/07/2020;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;601,38000;12/10/2017;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;630,94000;28/07/2024;No;Movimento casuale - entrata;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-2275,33000;12/03/2021;No;Movimento casuale - uscita;Reparti Operativi;Software
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;168,49000;07/06/2016;No;Movimento casuale - entrata;Reparti Operativi;Software
IT25O0200508000000001908;Conti Correnti - Operativi;Euro;EUR;-227,36000;31/08/2019;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-2416,87000;01/02/2022;No;Movimento casuale - uscita;Reparti Operativi;Hardware
IT25O030692008000000081100;Conti Correnti - Operativi;Euro;EUR;-849,05000;03/06/2019;No;Movimento casuale - uscita;Reparti Operativi;Software
